"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.408214946395419,-0.0675855500945257,-0.250955350386773,-0.0967545163209894,0.012625990967246,0.0307178432180308,-0.141939652228938,-0.0768705499044927,0.318823868128452,0.607436521910083,0.508246789255872,0.01874014292035
"2",-0.380851902471163,0.184254931965893,-0.287201204440335,0.0228835103393664,-0.0699932852159433,0.165031681313922,-0.0355645116616334,-0.131704438722092,0.293834884010086,-0.730948108038729,0.236183183375617,-0.104123869767685
"3",-0.393118984220726,-0.223377938725818,-0.216009774879932,0.119493348319378,0.0948754385917518,0.025650670589403,0.0122789160785352,0.116654984798666,0.353237211134917,0.0964637322525398,-0.752826681000109,0.101846079921646
"4",-0.348430586591647,0.17739983224169,-0.129527578440596,-0.271192895590532,-0.101779266849994,0.277598710237997,-0.40170935686034,0.392396634794216,-0.586437045112313,0.022617327757472,-0.0980625061369014,-0.000806023860953235
"5",-0.310727355513782,0.268786361261874,0.449293699409746,0.254747506523462,0.0810128854636568,0.138718224069667,0.172244953815024,0.0102879686982241,-0.0277380865250361,-0.00663779065188663,0.0950637094034525,0.706406902469518
"6",0.313822339618025,-0.277801748995648,-0.414806440398604,-0.247341611501722,-0.122987772188888,-0.180237758148004,-0.1804772559207,0.117899419185679,0.0521736563649551,-0.167183819970607,0.0866963295333984,0.677367509910972
"7",-0.056233269275079,0.466682638891303,0.0264107511437948,0.218266292369072,-0.20719379863384,-0.712930011915392,-0.392090907485838,0.0860086639079709,0.106166903461439,0.0276966609260859,-0.0755461034037587,-0.0251089542738216
"8",-0.279596282466253,-0.179871129344083,-0.381113138691606,0.298185918970325,0.173910883210046,-0.3894575531361,0.38033226783632,-0.162330077222553,-0.541737190982276,-0.0249081341513042,0.0901093727842537,0.0128476331632758
"9",-0.175305611827443,-0.48535976260728,0.332022490433912,0.0725889765658207,0.0345115210633581,-0.229795817074591,0.0283638221591664,0.656842348162803,0.10561189712959,-0.188937671230405,0.257338604739783,-0.137359878922173
"10",-0.138201050366772,-0.488162492241756,0.287954178132582,0.190900819949117,-0.138649068324377,0.0171513444627638,-0.551888475214101,-0.515992103127861,-0.152507370398077,-0.0928254080747742,-0.0214143788101357,0.0236012017960445
"11",0.182044678221851,-0.0347896142843844,-0.2245689104039,0.65842656762002,-0.560977157424024,0.323811295280208,0.0314414813990485,0.209712460039483,-0.0105536760790268,0.112035025478424,0.0643443947550237,-0.019293535214786
"12",0.230264872953614,0.0738961830167802,-0.166245486847502,0.405491864990876,0.738652713237459,0.1564389133005,-0.387382087249791,0.140490777609627,0.0236987040491858,-0.0259052701815525,0.0913029513069757,-0.00194498098917377
